,Price,Title,News,品牌,商品名称,商品编号,商品毛重,商品产地,NVMe协议,NVMe读速,容量,接口,包装清单,系列,型号,顺序写入,缓存,顺序读速,工作温度,TBW,产品尺寸,保存温度,好评度,评价特性,闪存类型,货号,店铺,特征特质,传输速度,外壳材质,颜色,连续写速,连续读速,指示灯,系统,优选服务,转速,硬盘尺寸,硬盘类型,特性,最大写入速度,钥匙孔,最大读取速度,产品净重（g）
10,599.00,西部数据（Western Digital）1TB SSD固态硬盘 M.2接口（NVMe协议） WD Blue SN570 四通道PCIe 高速,【电竞级新品】【SN850X，读速高达7300MB/s，容量1T】【BICS5技术】【下单送WD限定礼包+礼盒】等你来抢！查看>, 西部数据（WD）,西部数据WDS100T3B0C,100028004984,45.00g,中国大陆/马来西亚/泰国,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),固态硬盘x1,Blue SSD固态硬盘,WDS100T3B0C,3000MB/s,无缓存,3500MB/s,0ºC to 70ºC,600TBW,长80mm；宽22mm；高2.38mm,-40ºC to 85ºC,98%,读取快捷 运行稳定 简单方便 质量上乘 兼容性佳 小巧玲珑 做工一流 方便快捷 十分大气 效果惊艳 倍感舒适,TLC,,,,,,,,,,,,,,,,,,,
11,105.00,AirDisk 240GB SSD固态硬盘 SATA3.0接口 S10 系列,【稳定兼容，480G更优惠，】原厂颗粒，性能出众活动详情点击查看>, airdisk,airdiskS10 SATA 3.0 SSD 240GB,100026718070,60.00g,中国大陆,,,240-256GB,SATA接口,S10 240GB SSD X1,S10 SATA 3.0 SSD 240GB,S10 240GB SSD X1,450MB/s,无缓存,550MB/s,0℃~70℃,120TBW,长100mm；宽69.85mm；高7mm,-40℃~85℃,99%,运行稳定 读取快捷 运行超快 简单方便 反应灵敏 质量上乘 运行安静 做工一流 效果显著 简约时尚 尺寸合适,其他,,,,,,,,,,,,,,,,,,,
12,259.00,京东京造 512GB SSD固态硬盘 M.2接口（NVMe协议）PCIe3.0四通道 5系列,, 京东京造,京东京造JZ-SSD512G-5,100011216263,50.00g,中国大陆,PCIe 3.0,3000-4500MB/s,480-512GB,M.2接口(NVMe协议),SSD固态硬盘*1 螺丝*1,,,2400MB/s,无缓存,3200MB/s,0℃ to 70℃,256TBW,长80mm；宽22mm；高2.2mm,-40℃ to 85℃,98%,读取快捷 运行稳定 质量上乘 简单方便 运行超快 精致美观 做工一流 反应灵敏 方便快捷 简约时尚 放心使用,TLC,,,,,,,,,,,,,,,,,,,
13,399.00,飞利浦（PHILIPS） 1TB SSD固态硬盘 M.2接口(NVMe协议) FM60系列 2280板型 四通道PCIe3.0*4高速,"【热销爆款,NVMe1T,限时活动价399】NVMe高速协议,性能稳定,多设备兼容,游戏办公,升级优选立即购买查看>", 飞利浦（PHILIPS）,飞利浦FM60 M.2 2280 NVMe PCIe,100017929971,40.00g,中国大陆,PCIe 3.0,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),固态硬盘 × 1、说明书 × 1、保修卡 × 1,FM60,FM60 M.2 2280 NVMe PCIe,2000MB/s,无缓存,2500MB/s,0-70度,400TBW,长80mm；宽22mm；高2.3mm,-40~85°C,99%,十分流畅 质量上乘 运行稳定 传输快捷,其他,,,,,,,,,,,,,,,,,,,
14,429.00,西部数据（Western Digital）500G SSD固态硬盘 M.2接口(PCIe 4.0 x4)WD_BLACK SN770 NVMe SSD游戏高性能版,【电竞级新品】【SN850X，读速高达7300MB/s，容量1T】【BICS5技术】【下单送WD限定礼包+礼盒】等你来抢！查看>, 西部数据（WD）,西部数据WDS500G3X0E,100019517343,50.00g,中国大陆/马来西亚/泰国,PCIe 4.0,4500MB/s及以上,480-512GB,M.2接口(NVMe协议),WD_BLACK SN770 NVMe SSD*1片,WD_BLACK系列,WDS500G3X0E,4000MB/s,无缓存,5000MB/s,0ºC to 85ºC,300TBW,长80mm；宽22mm；高2.38mm,-40ºC至 85ºC,98%,读取快捷 质量上乘 稳定性佳 运行超快 简单方便 反应灵敏 做工一流 小巧玲珑 十分大气 方便快捷 功能齐全,TLC,,,,,,,,,,,,,,,,,,,
15,169.00,金士顿(Kingston) 240GB SSD固态硬盘 SATA3.0接口 A400系列,"此商品将于2022-09-24,00点结束闪购特卖，品牌联合活动查看>", 金士顿（Kingston）,金士顿A400系列 240G,4311178,70.00g,中国大陆，中国台湾,,,240-256GB,SATA接口,SSDx1,A400系列,SA400S37/240G或SA400S37/240GBK或A400S37/240GBKCN或SA400S37/240GCN,350MB/s,无缓存,500MB/s,0~70°C,80TBW,长100mm；宽69.9mm；高7mm,-40~85°C,99%,质量上乘 运行速快 运行超快 读取快捷 简单方便 反应灵敏 做工一流 方便快捷 小巧玲珑 十分大气 效果惊艳,其他,,,,,,,,,,,,,,,,,,,
16,179.00,酷兽（CUSO） m.2固态硬盘(NVMe协议)SSD pci-e3.0x4 台式机/笔记本/超级本 250GB 石墨烯散热片,【京选存储.稳定兼容】电脑升级优选配件, 酷兽（CUSO）,酷兽（CUSO）酷兽（CUSO）固态硬盘M.2(NVMe协议)SSD,10030550044302,40.00g,,,2000-3000MB/s,240-256GB,M.2接口(NVMe协议),暂无,,酷兽 250GB m.2（nvme协议）SSD,,,,0-70℃,,,-40-80℃,98%,运行稳定 运行超快 做工一流 质量上乘 读写迅速 简单方便 小巧可爱 反应灵敏 方便快捷 节能降耗 时尚大气,TLC,,,,,,,,,,,,,,,,,,,
17,139.00,海康威视（HIKVISION） SSD固态硬盘 SATA3.0接口 A260 256GB 2.5英寸,【新品上市】SATA3接口，读速高达560MB/s，兼容多平台，三年质保！, 海康威视（HIKVISION）,海康威视（HIKVISION）HS-SSD-A260,10052567574859,65.00g,中国大陆,,,240-256GB,SATA接口,SSD固态硬盘*1,A260,HS-SSD-A260,450MB/s,无缓存,550MB/s,0 °C - 70 °C,70TBW,长100.4mm；宽69.9mm；高7mm,-45℃-85℃,96%,方便快捷,其他,,,,,,,,,,,,,,,,,,,
18,229.00,朗科（Netac）512GB SSD固态硬盘 SATA3.0接口 N550S超光系列 电脑升级核心组件 三年质保,电脑升级优选丨稳固耐用丨性能卓越！, 朗科（Netac）,朗科N550S,100004001433,70.00g,中国大陆,,,480-512GB,SATA接口,1SSD× 1说明书 × 1保修卡,超光系列,N550S,530MB/s,无缓存,560MB/s,0-70 ℃,240TBW,长100mm；宽70mm；高7mm,-40~85℃,98%,运行稳定 做工一流 反应灵敏 读取快捷 质量上乘 简单方便 运行超快 稳定性佳 十分大气 方便快捷 尺寸合适,TLC,,,,,,,,,,,,,,,,,,,
19,499.00,海康威视（HIKVISION）1TB SSD固态硬盘 M.2接口(NVMe协议) C2000ECO系列,, HIKVISION,HIKVISIONSSD固态硬盘,100028274720,65.00g,中国大陆,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),SSD固态硬盘*1 说明书*1 螺丝刀*1,C2000ECO,C2000ECO-1TB,3010MB/s,无缓存,3500MB/s,0 °C ~ 70 °C,448TBW,长80.15mm；宽22.15mm；高2.38mm,-40 °C ~ 85 °C,97%,稳定性佳 传输快捷 简单方便 运行稳定 加载很快 做工一流 质量上乘 精致美观 传输稳定 小巧玲珑 方便快捷,TLC,,,,,,,,,,,,,,,,,,,
20,135.00,AirDisk 240GB SSD固态硬盘 M.2接口(NVMe协议) P9 系列,【稳定兼容】原厂颗粒，性能出众，游戏办公两不误活动详情点击查看>, airdisk,airdisk P9 M.2 2280 NVMe SSD 240,100026718074,34.00g,中国大陆,,2000MB/s以下,240-256GB,M.2接口(NVMe协议),P9 M.2 2280 NVMe SSD 240 X1,P9,P9 M.2 2280 NVMe SSD 240GB,760MB/s,无缓存,1900MB/s,0℃~70℃,120TBW,长80mm；宽22mm；高2.25mm,-40℃~85℃,99%,运行稳定 质量上乘 传输快捷 简单方便 小巧玲珑 运行超快,其他,,,,,,,,,,,,,,,,,,,
21,1799.00,三星（SAMSUNG） 2TB SSD固态硬盘 M.2接口(NVMe协议) 970 EVO Plus（MZ-V7S2T0B）,【0元抽京东plus会员，部分型号白条三期免息】970PLUS旗舰款核心部件升级更新啦！升级不加价！性能大提升!新老包装随机发货。点击, 三星（SAMSUNG）,三星MZ-V7S2T0B,100005813808,80.00g,中国大陆/韩国/泰国,PCIe 3.0,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),硬盘 × 1 说明书 × 1，包装彩盒*1,970 EVO Plus,MZ-V7S2T0B,3300MB/s,2GB,3500MB/s,0 - 70 ℃ 运行温度,1200TBW,长80.15mm；宽22.15mm；高2.38mm,-45°C to 85°C,98%,读取快捷 运行速快 质量上乘 兼容性佳 简单方便 做工一流 方便快捷 高端大气 效果惊艳 时尚大气 节能降耗,TLC,,,,,,,,,,,,,,,,,,,
22,1099.00,三星（SAMSUNG）1TB SSD固态硬盘 M.2接口(NVMe协议PCIe 4.0 x4) 980 PRO （MZ-V8P1T0BW）,【0元抽京东plus会员，部分型号白条三期免息】1TB读速高达7000MB/s!铁杆玩家、技术发烧友的挚爱！点击查看>, 三星（SAMSUNG）,三星三星NVMV 980 pro SSD MZ-V8P500BW,100008757393,80.00g,中国/韩国/泰国,PCIe 4.0,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),硬盘 × 1 ，说明书 × 1，包装彩盒×1,980 PRO,MZ-V8P1T0BW,5000MB/s,1GB,7000MB/s,0 - 70 ℃,600TBW,长80.15mm；宽22.15mm；高2.38mm,-40~85°C,98%,读取快捷 稳定性佳 质量上乘 运行速快 简单方便 做工一流 反应灵敏 方便快捷 小巧玲珑 十分大气 效果惊艳,TLC,MZ-V8P1T0BW,,,,,,,,,,,,,,,,,,
23,185.00,AirDisk 480GB SSD固态硬盘 SATA3.0接口 S10 系列,【稳定兼容，960G更优惠】原厂颗粒，性能出众活动详情点击查看>, airdisk,airdiskS10 SATA 3.0 SSD 480GB,100026718078,60.00g,中国大陆,,,480-512GB,SATA接口,S10 480GB SSD X1,S10 SATA 3.0 SSD 480GB,S10 480GB SSD X1,460MB/s,无缓存,550MB/s,0℃~70℃,240TBW,长100mm；宽69.85mm；高7mm,-40℃~85℃,99%,读取快捷 运行超快 兼容性佳 质量上乘 精致美观 反应灵敏 尺寸合适 简单方便 稳定性佳 方便快捷 做工一流,其他,,,,,,,,,,,,,,,,,,,
24,2399.00,三星（SAMSUNG）2TB SSD固态硬盘 M.2接口(NVMe协议PCIe 4.0 x4) 980 PRO （MZ-V8P2T0BW）,【0元抽京东plus会员，部分型号白条三期免息】1TB读速高达7000MB/s!铁杆玩家、技术发烧友的挚爱！点击查看>, 三星（SAMSUNG）,三星980PRO,100018171904,100.00g,中国/韩国/泰国,PCIe 4.0,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),硬盘 × 1 ，说明书 × 1，包装彩盒×1,980 PRO,MZ-V8P2T0BW,5100MB/s,2GB,7000MB/s,0 - 70 ℃,1200TBW,长80.15mm；宽22.15mm；高2.38mm,-40~85°C,98%,读取快捷 质量上乘 简单方便 做工一流 运行稳定 兼容性佳 精致美观 高端大气 倍感舒适 方便快捷 散热超快,TLC,MZ-V8P2T0BW,,,,,,,,,,,,,,,,,,
25,1049.00,海康威视（HIKVISION）2TB SSD固态硬盘 M.2接口(NVMe协议) C2000Pro系列 10年质保,, HIKVISION,HIKVISIONSSD固态硬盘,100009240911,100.00g,中国大陆,PCIe 3.0,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),SSD固态硬盘*1 散热片*1 螺丝刀*1 硅胶垫*1,C2000Pro系列,C2000Pro系列-2TB,3100MB/s,2GB,3400MB/s,0 ℃~70 ℃,1280TBW,长80.15mm；宽22.15mm；高2.38mm,-40 °C ~85 °C,97%,质量上乘 方便快捷 识别灵敏 系统良好 十分流畅 兼容性佳 高端大气 做工一流,TLC,,,,,,,,,,,,,,,,,,,
26,85.00,移速（MOVE SPEED）128GB SSD固态硬盘 SATA3.0 金钱豹系列 家用普及版 高速 低耗能,, 移速（MOVE SPEED）,移速金钱豹系列,100020584692,70.00g,中国大陆,,2000MB/s以下,120-128GB,SATA接口,SSDx1、说明书x1,金钱豹,YSSDJQB-128GB,280MB/s,无缓存,540MB/s,0°C to 70°C,80TBW,长100mm；宽69.85mm；高6.8mm,-40°C ~ 85°C,98%,运行速快 读取快捷 运行超快 质量上乘 做工一流 简单方便 十分大气 方便快捷 反应灵敏 简洁大方 结实耐用,TLC,,,,,,,,,,,,,,,,,,,
27,89.00,JUHOR 玖合 SATA3 SSD固态硬盘 128G Z600系列,精选颗粒，稳定兼容，性价比之选！【16Gx2双通套条3200运行更稳定】查看>, JUHOR,JUHORSATA3 SSD 固态硬盘,10027060430616,61.00g,中国大陆,,2000MB/s以下,120-128GB,SATA接口,"固态硬盘*1,包装盒*1",Z600,SATA3 SSD 128G,320MB/s,无缓存,443MB/s,30℃-50℃,30TBW,长100mm；宽69.8mm；高7mm,常温,98%,传输快捷 质量上乘 运行超快 方便快捷 十分稳固 稳定可靠 做工一流 运行快速 读取快捷,,10027060430616,,,,,,,,,,,,,,,,,,
28,969.00,海康威视（HIKVISION） SSD固态硬盘 M.2接口 NVMe协议 CC500 2TB PCIe3.0 高性能固态,【芯强体健，性能之选】读速高达3500MB/s，双重散热低功耗，五年质保！, 海康威视（HIKVISION）,海康威视（HIKVISION）HS-SSD-CC500,10054402152038,60.00g,中国大陆,PCIe 3.0,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),SSD固态硬盘*1；安装螺丝*1,CC500系列,,3000MB/s,无缓存,3400MB/s,0 °C ~ 70 °C,896TBW,长80.15mm；宽22.15mm；高2.38mm,-40 °C ~ 85 °C,99%,稳定性佳 做工一流 简单方便 质量上乘 高端大气,TLC,,,,,,,,,,,,,,,,,,,
29,619.00,致态（ZhiTai）长江存储 1TB SSD固态硬盘 NVMe M.2接口 TiPlus5000系列,【评论赢百元E卡】长江存储致态PCIe3.0新品上市，第三代三维闪存芯片，读速3500MB/s，足容设计，五年质保，游戏发烧友安心之选！更多惊喜请点》, 致态（ZhiTai）,致态TiPlus5000 1TB,100018551171,40.00g,中国大陆,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),SSD、说明书、螺丝（3pcs),TIPlus 5000,TiPlus5000 1TB,3100MB/s,无缓存,3500MB/s,0°C 至 70°C,600TBW,长80mm；宽22mm；高2.2mm,-40°C-85°C,98%,读取快捷 稳定性佳 简单方便 质量上乘 运行速快 做工一流 方便快捷 简洁大方 尺寸合适 结实耐用 效果惊艳,TLC,,,,,,,,,,,,,,,,,,,
30,599.00,西部数据（Western Digital）1TB SSD固态硬盘 M.2接口（NVMe协议） WD Blue SN570 四通道PCIe 高速,【电竞级新品】【SN850X，读速高达7300MB/s，容量1T】【BICS5技术】【下单送WD限定礼包+礼盒】等你来抢！查看>, 西部数据（WD）,西部数据WDS100T3B0C,100028004984,45.00g,中国大陆/马来西亚/泰国,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),固态硬盘x1,Blue SSD固态硬盘,WDS100T3B0C,3000MB/s,无缓存,3500MB/s,0ºC to 70ºC,600TBW,长80mm；宽22mm；高2.38mm,-40ºC to 85ºC,98%,读取快捷 运行稳定 简单方便 质量上乘 兼容性佳 小巧玲珑 做工一流 方便快捷 十分大气 效果惊艳 倍感舒适,TLC,,,,,,,,,,,,,,,,,,,
31,209.00,京东京造 3系列 480GB SATA3 SSD固态硬盘 JZ-2.5SSD480GB-3,, 京东京造,京东京造JZ-2.5SSD480GB-3,100016385967,70.00g,中国大陆,,,480-512GB,SATA接口,说明书 合格证 彩盒 吸塑 主机,,JZ-2.5SSD480GB-3,460MB/s,无缓存,540MB/s,0-70,,长100mm；宽69mm；高7mm,-40-85,99%,读取快捷 质量上乘 运行稳定 反应灵敏 运行超快 简单方便 做工一流 十分大气 方便快捷 小巧玲珑 结实耐用,,,,,,,,,,,,,,,,,,,,
32,199.00,移速（MOVE SPEED）480GB SSD固态硬盘 SATA3.0 金钱豹系列高阶版-五年质保,, 移速（MOVE SPEED）,移速YSSDJQB-480GSQ,100029802664,70.00g,中国大陆,,2000MB/s以下,480-512GB,SATA接口,SSDx1、说明书x1,美洲豹,,480MB/s,无缓存,560MB/s,0°C to 70°C,320TBW,长100mm；宽69.85mm；高6.8mm,-40°C ~ 85°C,98%,读取快捷 运行超快 运行稳定 做工一流 质量上乘 方便快捷 启动快速 小巧轻便 反应灵敏 美观大方 简单方便,其他,,,,,,,,,,,,,,,,,,,
33,399.00,三星（SAMSUNG）500GB SSD固态硬盘 M.2接口(NVMe协议) 980（MZ-V8V500BW）,【满血无缓存！0元抽京东plus会员，部分型号白条三期免息】兼具速度与可靠性！读速高达3500MB/s，全功率模式！点击, 三星（SAMSUNG）,三星980,100018768480,80.00g,中国/韩国/泰国,PCIe 3.0,3000-4500MB/s,480-512GB,M.2接口(NVMe协议),硬盘 × 1 ，说明书 × 1，包装彩盒×1,980,MZ-V8V500BW,2600MB/s,无缓存,3100MB/s,0 - 70 ℃,300TBW,长80.15mm；宽22.15mm；高2.38mm,-40~85°C,98%,读取快捷 质量上乘 稳定性佳 运行速快 简单方便 反应灵敏 做工一流 方便快捷 小巧可爱 结实耐用 造型养眼,TLC,MZ-V8V500BW,,,,,,,,,,,,,,,,,,
34,999.00,浦科特（Plextor） 1TB SSD固态硬盘 M.2接口(NVMe协议) M10PGN PCIe 4.0 x4 原厂颗粒 五年质保,原厂原片颗粒，3D进化，品质出众！独立缓存！持久稳定！读速高达7000MB/s, 浦科特（PLEXTOR）,浦科特PX-1TM10PGN,100012197155,40.00g,中国台湾,,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),固态硬盘*1,,,5000MB/s,1GB,7000MB/s,0°C ~ 70°C,640TBW,长80mm；宽22mm；高2.3mm,-40℃~85℃,98%,读写迅速 兼容性佳 读取快捷 运行速快 简单方便 反应灵敏 做工一流 质量上乘 安装便利 炫酷十足 艳丽饱满,TLC,,,,,,,,,,,,,,,,,,,
35,259.00,七彩虹(Colorful) 512GB SSD固态硬盘 M.2接口(NVMe协议) CN600系列 TLC颗粒,【电脑装备升级优享，三年质保】爆款力荐NVMe协议，甄选TLC颗粒，石墨烯散热更多系列请点击查看>, 七彩虹（Colorful）,七彩虹七彩虹CN600 512GB,100004898713,30.00g,中国大陆,,2000MB/s以下,480-512GB,M.2接口(NVMe协议),硬盘*1pcs，图文说明书*1pcs,NVMe,CN600 512GB,1500MB/s,无缓存,2000MB/s,0 - 70 ℃ 运行温度,160TBW,长80mm；宽22mm；高2mm,-25℃ ~ 85℃,98%,读取快捷 简单方便 运行超快 运行速快 小巧玲珑 做工一流 质量上乘 反应灵敏 方便快捷 十分大气 节省空间,其他,,,,,,,,,,,,,,,,,,,
36,499.00,京东京造 1TB SSD固态硬盘 M.2接口（NVMe协议）PCIe3.0四通道 5系列（JZ-SSD1T-5）,, 京东京造,京东京造JZ-SSD1T-5,100017905286,50.00g,中国大陆,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),SSD固态硬盘*1 螺丝*1,,,2950MB/s,无缓存,3350MB/s,0℃ to 70℃,512TBW,长80mm；宽22mm；高2.2mm,-40℃ to 85℃,98%,读取快捷 简单方便 质量上乘 运行稳定 兼容性佳 做工一流 方便快捷 小巧玲珑 反应灵敏 简洁大方 结实耐用,TLC,,,,,,,,,,,,,,,,,,,
37,579.00,西部数据（WD) 1T SSD固态硬盘 SATA3.0 Green系列 家用普及版 高速 低耗能,【电竞级新品】【SN850X，读速高达7300MB/s，容量1T】【BICS5技术】【下单送WD限定礼包+礼盒】等你来抢！查看>, 西部数据（WD）,西部数据WDS100T3G0A,100016875251,63.00g,中国大陆,,,960GB-1TB,SATA接口,固态硬盘x1,Green SSD固态硬盘,WDS100T3G0A,,无缓存,545MB/s,0°C 至 70°C,,长100.5mm；宽69.85mm；高7mm,-55°C 至 85°C,98%,质量上乘 尺寸合适 读取快捷 简单方便 运行速快 运行稳定 反应灵敏 结实耐用 做工一流 小巧玲珑 效果显著,,,,,,,,,,,,,,,,,,,,
